1.154.115.140 - - [11/Nov/2013:03:47:12 +0000] "GET / HTTP/1.0" 200 3698 "-" "check_http/v1.4.16 (nagios-plugins 1.4.16)" "-" "-" CACHE_-
1.60.125.131 - - [11/Nov/2013:03:47:35 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/207-transcoding-files-ready-for-http-live-streaming-on-linux" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36" "-" "www.example.com" CACHE_EXPIRED
1.81.77.46 - - [11/Nov/2013:03:47:46 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/153-creating-a-virtual-network-interface-in-centos-6" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0" "192.168.20.87" "www.example.com" CACHE_HIT
1.217.211.210 - - [11/Nov/2013:03:47:52 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/207-transcoding-files-ready-for-http-live-streaming-on-linux" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36" "-" "www.example.com" CACHE_HIT
1.25.33.249 - - [11/Nov/2013:03:48:41 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/188-setting-up-xen-on-ubuntu-12-04" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36" "-" "www.example.com" CACHE_HIT
1.25.33.249 - - [11/Nov/2013:03:48:41 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/188-setting-up-xen-on-ubuntu-12-04" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36" "-" "www.example.com" CACHE_HIT
1.38.132.13 - - [11/Nov/2013:03:48:58 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/188-setting-up-xen-on-ubuntu-12-04" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0" "-" "www.example.com" CACHE_HIT
1.38.132.13 - - [11/Nov/2013:03:49:03 +0000] "-" 400 0 "-" "-" "-" "-" CACHE_-
1.168.129.162 - - [11/Nov/2013:03:49:36 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/161-configuring-postfix-to-block-outgoing-mail-to-all-but-one-domain" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "-" "www.example.com" CACHE_HIT
1.88.253.224 - - [11/Nov/2013:03:49:41 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/207-transcoding-files-ready-for-http-live-streaming-on-linux" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36" "-" "www.example.com" CACHE_HIT
1.182.152.129 - - [11/Nov/2013:03:49:44 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/188-setting-up-xen-on-ubuntu-12-04" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9) AppleWebKit/537.71 (KHTML, like Gecko) Version/7.0 Safari/537.71" "-" "www.example.com" CACHE_HIT
1.88.253.224 - - [11/Nov/2013:03:49:52 +0000] "-" 400 0 "-" "-" "-" "-" CACHE_-
1.32.254.153 - - [11/Nov/2013:03:50:04 +0000] "GET /about-me HTTP/1.0" 200 52123 "-" "ModuleRefreshForce" "-" "www.example.com" CACHE_BYPASS
1.55.243.38 - - [11/Nov/2013:03:50:07 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/153-creating-a-virtual-network-interface-in-centos-6" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36" "-" "www.example.com" CACHE_HIT
1.173.40.217 - - [11/Nov/2013:03:50:43 +0000] "GET /index.php HTTP/1.1" 200 6842 "http://www.example.com/documentation/linux/161-configuring-postfix-to-block-outgoing-mail-to-all-but-one-domain" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "-" "www.example.com" CACHE_HIT
